,alpha,beta,delta
0,2.7177846829953025e-08,3.2354579559467884e-08,1.1723114798145788e-09
1,2.763331045363341e-07,3.289679815908739e-07,9.482122912236377e-09
2,6.46097223497411e-07,7.691633613064418e-07,2.156339269107888e-08
3,1.1280306730796965e-06,1.34289365842821e-06,3.650878359480315e-08
4,1.4403428462968027e-06,1.7146938646390506e-06,4.639135808112873e-08
5,1.4881819892160194e-06,1.771645225257166e-06,4.8467084451700456e-08
6,1.4439033288269873e-06,1.718932534317842e-06,4.725934982835012e-08
7,1.224019837274094e-06,1.4571664729453499e-06,3.934451861409481e-08
8,9.19902797847974e-07,1.095122378390445e-06,2.920904603227573e-08
9,5.475983611257561e-07,6.519028108639952e-07,1.7874479948180052e-08
10,4.079891389777662e-07,4.857013559259122e-07,1.2885796356953154e-08
11,1.881016683290084e-07,2.2393055753453378e-07,6.111090419779611e-09
12,1.0196508110752444e-08,1.2138700131848147e-08,4.4070278992965006e-10
13,8.4e-09,1e-08,1e-08
14,8.4e-09,1e-08,1e-08
