,alpha,beta,delta
0,2.3227690617127088e-08,2.7652012639437006e-08,1.0721840117495641e-09
1,2.4101377704043624e-07,2.869211631433765e-07,8.830287161783529e-09
2,5.61238951338274e-07,6.681416087360404e-07,2.0023576775721324e-08
3,9.864625724013094e-07,1.174360205239654e-06,3.4043755595605684e-08
4,1.2384574016949588e-06,1.4743540496368556e-06,4.325708451052047e-08
5,1.2392118740005654e-06,1.475252230953054e-06,4.2953107647628876e-08
6,1.2191654970689313e-06,1.4513874965106325e-06,4.222516747766147e-08
7,1.0668460747875744e-06,1.2700548509375884e-06,3.6374027835237945e-08
8,7.985809562146844e-07,9.506916145412909e-07,2.7128662125559028e-08
9,4.655737194569893e-07,5.542544279249872e-07,1.6193701065800725e-08
10,3.739558020777232e-07,4.4518547866395613e-07,1.2419323566059538e-08
11,1.6833939865324126e-07,2.0040404601576337e-07,5.760526699395039e-09
12,8.73274008119773e-09,1.0396119144283012e-08,4.0182068299569734e-10
13,8.4e-09,1e-08,1e-08
14,8.4e-09,1e-08,1e-08
