,alpha,beta,delta
0,3.582098919943885e-08,4.264403476123673e-08,1.3754381915832468e-09
1,3.3352584375546874e-07,3.970545758993675e-07,1.0335347822617096e-08
2,8.316060833473205e-07,9.900072420801434e-07,2.49015525763963e-08
3,1.4380649889406187e-06,1.7119821296912127e-06,4.175335244259996e-08
4,1.8739386120447846e-06,2.2308793000533148e-06,5.352999049273296e-08
5,2.0839227443492863e-06,2.4808604099396265e-06,5.948787939258322e-08
6,1.7532793193747257e-06,2.0872372849699114e-06,5.129620143979126e-08
7,1.6085646478229032e-06,1.914957914074885e-06,4.5962663782560354e-08
8,1.2891308617573886e-06,1.5346795973302244e-06,3.5705790973535155e-08
9,6.914475848487304e-07,8.23151886724679e-07,2.0266747148496937e-08
10,4.898827796917144e-07,5.83193785347279e-07,1.3850150902304881e-08
11,2.021746708113063e-07,2.406841319182218e-07,5.887355528365682e-09
12,1.3810101961795638e-08,1.6440597573566235e-08,5.263041775992741e-10
13,8.4e-09,1e-08,1e-08
14,8.4e-09,1e-08,1e-08
