,alpha,beta,delta
0,4.3256588835913194e-08,5.149593909037285e-08,1.5295292113739728e-09
1,3.786480411684759e-07,4.507714775815189e-07,1.0915194174954038e-08
2,9.64178964521451e-07,1.1478321006207748e-06,2.6625391181030248e-08
3,1.6592239867956802e-06,1.975266650947238e-06,4.4910099177538296e-08
4,2.3049485914417767e-06,2.7439864183830672e-06,6.033036892699213e-08
5,2.2655680560771458e-06,2.6971048286632684e-06,6.071784428355986e-08
6,2.2061591536152556e-06,2.626379944780066e-06,5.875383344749511e-08
7,1.9764332621258767e-06,2.3528967406260437e-06,5.152410716073419e-08
8,1.4448965046488414e-06,1.720114886486716e-06,3.7581772121335424e-08
9,8.068964966542171e-07,9.605910674454964e-07,2.1892202448845998e-08
10,5.542664706413031e-07,6.598410364777417e-07,1.4544047191819848e-08
11,2.1792949049548944e-07,2.594398696374874e-07,5.947632030844119e-09
12,1.6798862596029867e-08,1.99986459476546e-08,5.896474148869767e-10
13,8.4e-09,1e-08,1e-08
14,8.4e-09,1e-08,1e-08
