,alpha,beta,delta
0,3.365235030376682e-08,4.006232179019859e-08,1.3260536313113863e-09
1,3.1554153794985014e-07,3.756446880355359e-07,1.00771908565907e-08
2,7.817693887869559e-07,9.30677843793995e-07,2.395928031465581e-08
3,1.4025891701021753e-06,1.669749012026399e-06,4.152656439424718e-08
4,1.7493060764105363e-06,2.082507233822067e-06,5.178170064373127e-08
5,1.8830499679042074e-06,2.2417261522669133e-06,5.5797112888102255e-08
6,1.6903762368468925e-06,2.0123526629129673e-06,5.025721589460881e-08
7,1.5049994816773868e-06,1.7916660496159364e-06,4.450274362186592e-08
8,1.1970895563660863e-06,1.4251066147215312e-06,3.438420871786061e-08
9,6.473768120314755e-07,7.706866809898518e-07,1.948252323546492e-08
10,4.7623022409417735e-07,5.669407429692588e-07,1.3827228951579723e-08
11,1.9678409269566428e-07,2.3426677701864793e-07,5.9224320262616845e-09
12,1.2848801993380677e-08,1.529619284926271e-08,5.049619599669015e-10
13,8.4e-09,1e-08,1e-08
14,8.4e-09,1e-08,1e-08
