,alpha,beta,delta
0,3.833604963429054e-08,4.5638154326536354e-08,1.427069145331188e-09
1,3.526929566521381e-07,4.1987256744302153e-07,1.0641702166899767e-08
2,8.483594953204459e-07,1.009951780143388e-06,2.4775014861848827e-08
3,1.5407591348488646e-06,1.8342370652962672e-06,4.327813481922708e-08
4,1.978380759898999e-06,2.355215190355951e-06,5.518303037392707e-08
5,2.2359204749016352e-06,2.661810089168613e-06,6.191544019406306e-08
6,1.8708665284186844e-06,2.227222057641291e-06,5.30050627751224e-08
7,1.7373656499151142e-06,2.068292440375136e-06,4.848808464204605e-08
8,1.2814136488678654e-06,1.5254924391284109e-06,3.522402024589388e-08
9,7.342871415908932e-07,8.741513590367775e-07,2.0814264380628646e-08
10,5.26219927453629e-07,6.264522945876535e-07,1.4461940414711932e-08
11,2.0865115461704676e-07,2.483942316869604e-07,5.9561619621300975e-09
12,1.466757707150972e-08,1.7461401275606808e-08,5.461598131797181e-10
13,8.4e-09,1e-08,1e-08
14,8.4e-09,1e-08,1e-08
