,alpha,beta,delta
0,2.9262483451922395e-08,3.483628982371713e-08,1.2252204414126129e-09
1,2.827261988229588e-07,3.3657880812257e-07,9.550457438239626e-09
2,7.151685372307305e-07,8.513911157508696e-07,2.3152335356842588e-08
3,1.186125593091528e-06,1.4120542774899142e-06,3.7213708412048684e-08
4,1.5605646970958768e-06,1.8578151155903294e-06,4.8887990195073565e-08
5,1.5941194170205585e-06,1.89776121073876e-06,5.0345064454605527e-08
6,1.5486566712967103e-06,1.8436388944008453e-06,4.8652213894598754e-08
7,1.2916398384301332e-06,1.537666474321587e-06,4.090971820354498e-08
8,1.0329121874664502e-06,1.2296573660314882e-06,3.166152307975847e-08
9,5.736413146505119e-07,6.829063269648951e-07,1.8361832932448106e-08
10,4.3772860457916816e-07,5.211054816418668e-07,1.3279652271014755e-08
11,1.8470241975695467e-07,2.1988383304399364e-07,5.813128057824158e-09
12,1.1072554607929585e-08,1.31816126284876e-08,4.637784399337628e-10
13,8.4e-09,1e-08,1e-08
14,8.4e-09,1e-08,1e-08
