,alpha,beta,delta
0,3.1394755836014434e-08,3.73747093285886e-08,1.273072146729665e-09
1,3.079609756854941e-07,3.6662020914939766e-07,1.003728424401313e-08
2,7.240675547350173e-07,8.619851842083539e-07,2.290180936385584e-08
3,1.3028677064586266e-06,1.5510329838793171e-06,3.9918669488926064e-08
4,1.6268000008508256e-06,1.936666667679554e-06,4.949967798872125e-08
5,1.7258365729518596e-06,2.054567348752214e-06,5.2632771770974e-08
6,1.6651851609466725e-06,1.982363286841277e-06,5.0784883710259e-08
7,1.4064241106157917e-06,1.6743144173997518e-06,4.249373636239248e-08
8,1.0864398576941646e-06,1.2933807829692436e-06,3.2718610181600964e-08
9,6.111958551782139e-07,7.276141133073974e-07,1.899784563363493e-08
10,4.5858690441572814e-07,5.459367909711049e-07,1.353712131902812e-08
11,1.8957882893828597e-07,2.2568908206938805e-07,5.8846670105903065e-09
12,1.1960738610753144e-08,1.4238974536610884e-08,4.846387245253103e-10
13,8.4e-09,1e-08,1e-08
14,8.4e-09,1e-08,1e-08
